"establecimiento_curt","establecimiento_razon_social","direccion","localidad_descripcion","partido_descripcion","subcuenca","lat","lon","estado_ac"
"411092205","DAMIATONY S.R.L","ANATOLE FRANCE 2626","LA TABLADA","LA MATANZA","Cuenca Baja Rio Matanza",-34.68968582,-58.54816055,"AGENTE CONTAMINANTE VIGENTE"
"1170702","FRIGORIFICO LA EXPOSICION S.R.L.","PIERES 1554","CAPITAL FEDERAL","CAPITAL FEDERAL","Cuenca Baja Riachuelo",-34.65435791,-58.50013733,"AGENTE CONTAMINANTE VIGENTE"
"1132533","MARQUES PEREIRA GUSTAVO JOSE FRANCIS","CARLOS BERG 2825","CAPITAL FEDERAL","CAPITAL FEDERAL","Cuenca Baja Riachuelo",-34.63744354,-58.36619949,"AGENTE CONTAMINANTE VIGENTE"
"26236391","INDUSTRIAS ARCYNUR S.A.","D'ANTONIO 2278","BURZACO","ALMIRANTE BROWN","Cuenca Baja A�� Del Rey",-34.84962845,-58.40542221,"AGENTE CONTAMINANTE VIGENTE"
"426223076","TRANSPORTES SUR NOR CISA","DR. ALFREDO PALACIOS 4454","VALENTIN ALSINA","LANUS","Cuenca Baja Riachuelo",-34.66263,-58.419609,"AGENTE CONTAMINANTE VIGENTE"
"26013909","CARBE SA","LUIS MARIA DRAGO 1751","BURZACO","ALMIRANTE BROWN","Cuenca Baja A�� Del Rey",-34.83872604,-58.41617203,"AGENTE CONTAMINANTE VIGENTE"
"9978967","ST LABHRAS SA","URANO 1777","9 DE ABRIL","ESTEBAN ECHEVERRIA","Cuenca Baja A�� Santa Catalina",-34.7669305,-58.4748853,"AGENTE CONTAMINANTE VIGENTE"
"9978115","FRANZECE LEONARDO ENRIQUE (EX ESCENCIA URBANA SRL)","EUGENIO GARZON 5168","CAPITAL FEDERAL","CAPITAL FEDERAL","Cuenca Baja Riachuelo",-34.6537,-58.4883,"AGENTE CONTAMINANTE VIGENTE"
"412021280","EURO QUIMICA S.A.","AV. SAN MARTIN 3.560-70","LOMAS DEL MIRADOR","LA MATANZA","Cuenca Baja Riachuelo",-34.67034531,-58.53200912,"AGENTE CONTAMINANTE VIGENTE"
"9978871","VINCENTI ROBERTO HECTOR (EX OLIDEN 2296 SA)","OLIDEN 2296","CAPITAL FEDERAL","CAPITAL FEDERAL","Cuenca Baja Riachuelo",-34.65968704,-58.49554443,"AGENTE CONTAMINANTE VIGENTE"
"423077405","RODRIGUEZ HERNAN","FLORIDA 2797","LANUS OESTE","LANUS","Cuenca Baja Riachuelo",-34.68527603,-58.42870331,"AGENTE CONTAMINANTE VIGENTE"
"9980070","JORGE L. REBAGLIATI E HIJOS S.R.L (CINTRA)","DARSENA DE INFLAMABLES LADO ESTE S/N","DOCK SUD","AVELLANEDA","Fuera de Cuenca H��drica",-34.63364,-58.338311,"AGENTE CONTAMINANTE VIGENTE"
"9979105","RECICLAR ORGANICO SA (Ex CURT: 9979210)","AV. NICOLAS BRUZONE 912","MONTE GRANDE","ESTEBAN ECHEVERRIA","Cuenca Baja A�� Santa Catalina",-34.8,-58.46,"AGENTE CONTAMINANTE VIGENTE"
"9980090","PERU HECTOR SILVIO","CASTA�?ON 3264","CAPITAL FEDERAL","CAPITAL FEDERAL","Cuenca Baja Riachuelo",-34.66114,-58.43593,"AGENTE CONTAMINANTE VIGENTE"
"293107370","BRANDOLIN MARIA LUISA","RUTA 40 (EX 200) KM 69,800 SN","GENERAL LAS HERAS (EST. LAS HERAS)","GENERAL LAS HERAS","Cuenca Alta A�� Rodriguez",-34.92949295,-58.98075485,"AGENTE CONTAMINANTE VIGENTE"
"1198218","AL SUR PRODUCCIONES GRAFICAS S.R.L.","WENCESLAO VILLAFA�?E 468","CAPITAL FEDERAL","CAPITAL FEDERAL","Cuenca Baja Riachuelo",-34.63227081,-58.3614769,"AGENTE CONTAMINANTE VIGENTE"
"9979683","SODIR SRL","CANAL VENECIA 1258","ISIDRO CASANOVA","LA MATANZA","Cuenca Media A�� Don Mario",-34.7368599,-58.5722174,"AGENTE CONTAMINANTE VIGENTE"
"9978165","COMPA�?IA INTEGRAL DE ALIMIENTOS SA","SAN ANTONIO 1083","CAPITAL FEDERAL","CAPITAL FEDERAL","Cuenca Baja Riachuelo",-34.6545,-58.3762,"AGENTE CONTAMINANTE VIGENTE"
"135228829","RECICAN S.R.L.","RUTA NACIONAL N�� 3 Km 66,200","CAÑUELAS","CAÑUELAS","Cuenca Alta A�� Navarrete y Canuelas",-35.05,-58.74,"AGENTE CONTAMINANTE VIGENTE"
"26243115","JORGE ALBERTO BRAVO ZU�?IGA","JUAN XXIII 2472","BURZACO","ALMIRANTE BROWN","Cuenca Baja A�� Del Rey",-34.83311081,-58.42027283,"AGENTE CONTAMINANTE VIGENTE"
"135103447","ISPRA S.A.","KENNEDY 75","CAÑUELAS","CAÑUELAS","Cuenca Alta A�� Navarrete y Canuelas",-35.05868775,-58.75226593,"AGENTE CONTAMINANTE VIGENTE"
"135183388","GRASERA JOSE NU�?EZ E HIJOS S.H","RUTA NAC. N��3 KM 66 n","CAÑUELAS","CAÑUELAS","Fuera de Cuenca H��drica",-35.15094757,-58.74827194,"AGENTE CONTAMINANTE VIGENTE"
"293055299","PORK MEAT S.A.","CASSEY 38","GENERAL LAS HERAS (EST. LAS HERAS)","GENERAL LAS HERAS","Cuenca Media A�� Morales",-34.9197197,-58.92379761,"AGENTE CONTAMINANTE VIGENTE"
"138133113","PROTEINAR SA","AUSTRIA SN","MAXIMO PAZ","CAÑUELAS","Cuenca Alta A�� Navarrete y Canuelas",-34.93273926,-58.62502289,"AGENTE CONTAMINANTE VIGENTE"
"9979073","NOREP GROUP SA","RAMON CARRILLO 931","VILLA EDUARDO MADERO","LA MATANZA","Cuenca Baja Riachuelo",-34.712484,-58.477734,"AGENTE CONTAMINANTE VIGENTE"
"254097429","KARRA S.A.","PERITO MORENO 273","LA UNION","EZEIZA","Cuenca Media A�� Aguirre",-34.87680054,-58.52798462,"AGENTE CONTAMINANTE VIGENTE"
"426238551","RG SRL","VIAMONTE 3289","VALENTIN ALSINA","LANUS","Cuenca Baja Riachuelo",-34.67902756,-58.4221611,"AGENTE CONTAMINANTE VIGENTE"
"1227918","PATRICIA SUSANA RODRǍGUEZ","ABRAHAM J. LUPPI 1624/1626","CAPITAL FEDERAL","CAPITAL FEDERAL","Cuenca Baja Riachuelo",-34.65570518,-58.4214595,"AGENTE CONTAMINANTE VIGENTE"
"412045378","SERVICIOS ECO REC S.A.","ROQUE SAENZ PE�?A 4027","LOMAS DEL MIRADOR","LA MATANZA","Cuenca Baja Riachuelo",-34.66945648,-58.5143013,"AGENTE CONTAMINANTE VIGENTE"
"9977881","EMSADE SA","MURGUIONDO 3138","CAPITAL FEDERAL","CAPITAL FEDERAL","Cuenca Baja Riachuelo",-34.66719,-58.48819,"AGENTE CONTAMINANTE VIGENTE"
"26029665","OFFAL EXP S.A.","DR. LUIS MARǍA DRAGO 2760","BURZACO","ALMIRANTE BROWN","Cuenca Baja A�� Del Rey",-34.84931183,-58.41046524,"AGENTE CONTAMINANTE VIGENTE"
"5000428","INCERELLA LEANDRO ECEQUIEL (LAVADOS DEL SUR)","MAIPU 1776","9 DE ABRIL","ESTEBAN ECHEVERRIA","Cuenca Baja A�� Santa Catalina",-34.74389,-58.49156,"AGENTE CONTAMINANTE VIGENTE"
"9977873","AVELLANEDA JUAN RAMON","AVELLANEDA 5007","LA TABLADA","LA MATANZA","Cuenca Baja Riachuelo",-34.68619,-58.52505,"AGENTE CONTAMINANTE VIGENTE"
"426051891","GRANBRIL S. ACIFA","REMEDIOS DE ESCALADA DE SAN MARTIN 4482","VALENTIN ALSINA","LANUS","Cuenca Baja Riachuelo",-34.66053,-58.417177,"AGENTE CONTAMINANTE VIGENTE"
"5000337","TRANSPORTES OT SRL","MAGALLANES 200","CARLOS SPEGAZZINI","EZEIZA","Cuenca Media A�� Aguirre",-34.88689,-58.56651,"AGENTE CONTAMINANTE VIGENTE"
"544000665","OILLATAGUERRE PEDRO JOSE","RUTA NAC N�� 200 KM 53","MARCOS PAZ","MARCOS PAZ","Cuenca Media A�� Morales",-34.8247261,-58.86517334,"AGENTE CONTAMINANTE VIGENTE"
"1062229","FRIGORIFICO SIGNORELLO SRL","MONTIEL 2466","CAPITAL FEDERAL","CAPITAL FEDERAL","Cuenca Baja Riachuelo",-34.66416931,-58.50932312,"AGENTE CONTAMINANTE VIGENTE"
"411110879","CONTARTESE MONICA ALEJANDRA","OMBU 5355","LA TABLADA","LA MATANZA","Cuenca Baja Rio Matanza",-34.69010925,-58.53721619,"AGENTE CONTAMINANTE VIGENTE"
"9977925","EMIGAL SA","PAMPA 1189","VALENTIN ALSINA","LANUS","Cuenca Baja Riachuelo",-34.667129,-58.420608,"AGENTE CONTAMINANTE VIGENTE"
"236104824","RECICLARPEL S. A.","P. DREYER 3025","EL JAGUEL","ESTEBAN ECHEVERRIA","Cuenca Media A�� Ortega",-34.84635162,-58.48839951,"AGENTE CONTAMINANTE VIGENTE"
"40888671065","ENERGROUP S.A.","LEANDRO N ALEM 1551","AVELLANEDA","AVELLANEDA","Cuenca Baja Riachuelo",-34.65247,-58.34653,"AGENTE CONTAMINANTE VIGENTE"
"90225771985","SUPREMO","ECHEVERRIA 2499","CAÑUELAS","CAÑUELAS","Cuenca Alta A�� Cebey",-35.03858,-58.77172,"AGENTE CONTAMINANTE VIGENTE"
"418002788","RAMGRAS S.A.C.I.A.","CONSTITUYENTES 153","VILLA EDUARDO MADERO","LA MATANZA","Cuenca Baja Riachuelo",-34.69381332,-58.50944901,"AGENTE CONTAMINANTE VIGENTE"
"234009534","CATTER MEAT S.A","MARIANA ARBEL 3451","ESTEBAN ECHEVERRIA","ESTEBAN ECHEVERRIA","Cuenca Baja A�� Santa Catalina",-34.77578735,-58.47216797,"AGENTE CONTAMINANTE VIGENTE"
"39096456","BARICOSMOS S.A.","CASTELLI 356","CRUCESITA","AVELLANEDA","Cuenca Baja Riachuelo",-34.66304016,-58.35624313,"AGENTE CONTAMINANTE VIGENTE"
"1095050","FRIGORIFICO JERONA S.R.L.","AV. CNEL. CARDENAS 2585","CAPITAL FEDERAL","CAPITAL FEDERAL","Cuenca Baja Riachuelo",-34.6662178,-58.5029068,"AGENTE CONTAMINANTE VIGENTE"
"498063259","SADESA S.A.","RIVERA SUR DEL RIACHUELO 664","VILLA FIORITO","LOMAS DE ZAMORA","Cuenca Baja Riachuelo",-34.69593048,-58.45168686,"AGENTE CONTAMINANTE VIGENTE"
"423014370","PEREZ CARLOS ALBERTO","RUCCI 2935","LANUS OESTE","LANUS","Cuenca Baja Riachuelo",-34.68679428,-58.42979813,"AGENTE CONTAMINANTE VIGENTE"
"420057691","HDK S.A.","RUTA NAC. N��3 KM. 44,200 SN","VIRREY DEL PINO","LA MATANZA","Cuenca Media A�� Chacon",-34.88168716,-58.67906189,"AGENTE CONTAMINANTE VIGENTE"
"26022659","INDUSTRIAS CERAMICAS LOURDES SA","RP 16 ESQ. L.M.DRAGO sn","BURZACO","ALMIRANTE BROWN","Cuenca Baja A�� Del Rey",-34.85445404,-58.40512466,"AGENTE CONTAMINANTE VIGENTE"
"1111149","NISIM HERNAN MOISES Y NISIM ENRIQUE AARON SH","JOSE ENRIQUE RODO 5702/6","CAPITAL FEDERAL","CAPITAL FEDERAL","Cuenca Baja Riachuelo",-34.65400314,-58.49849701,"AGENTE CONTAMINANTE VIGENTE"
"80300393521","OSTRILAP S.A.","DIRECTORIO 5210","CAPITAL FEDERAL","CAPITAL FEDERAL","Cuenca Baja Riachuelo",-34.6523603547202,-58.492487313344,"AGENTE CONTAMINANTE VIGENTE"
"42066675","TYCEL S.A.","TUYU 1928","PIÑEYRO","AVELLANEDA","Cuenca Baja Riachuelo",-34.66989517,-58.39702225,"AGENTE CONTAMINANTE VIGENTE"
"1134780","GATE GOURMET ARGENTINA S.R.L","AV. BENITO PEREZ GALDOS 52","CAPITAL FEDERAL","CAPITAL FEDERAL","Cuenca Baja Riachuelo",-34.62880325,-58.35769653,"AGENTE CONTAMINANTE VIGENTE"
"237024855","ROEMMERS SAICF - PREDIO LUIS GUILLON","ALVARO BARROS 1113","LUIS GUILLON","ESTEBAN ECHEVERRIA","Cuenca Baja A�� Santa Catalina",-34.783638,-58.47486115,"AGENTE CONTAMINANTE VIGENTE"
"1101782","INC S.A. - N��30 CARREFOUR MATADEROS","AV. GENERAL PAZ 12950","CAPITAL FEDERAL","CAPITAL FEDERAL","Cuenca Baja Riachuelo",-34.66422272,-58.51442719,"AGENTE CONTAMINANTE VIGENTE"
"1003932","INSUGRA S.A.","MURGUIONDO 2248","CAPITAL FEDERAL","CAPITAL FEDERAL","Cuenca Baja Riachuelo",-34.65943909,-58.49807739,"AGENTE CONTAMINANTE VIGENTE"
"252004580","CHEMOTECNICA S.A.","GONZALEZ Y ARAG�?N 207 207","CARLOS SPEGAZZINI","EZEIZA","Cuenca Alta A�� Navarrete y Canuelas",-34.90455246,-58.60111618,"AGENTE CONTAMINANTE VIGENTE"
"10326500760","FOREZER S.A.","Ruta N�� 3, Km. 74,500","CAÑUELAS","CAÑUELAS","Cuenca Alta A�� Navarrete y Canuelas",-35.13679913,-58.73934517,"AGENTE CONTAMINANTE VIGENTE"
"20340242649","LASER DISC ARGENTINA S.A.","Corvalǭn N�� 1835/45","CAPITAL FEDERAL","CAPITAL FEDERAL","Cuenca Baja Riachuelo",-34.65510128,-58.48899086,"AGENTE CONTAMINANTE VIGENTE"
"50403027595","DIAZ GUSTAVO A Y BERTOGLIATI RICARDO S.H.","Pilcomayo N�� 3262","LANUS","LANUS","Cuenca Baja Riachuelo",-34.69616396,-58.42187277,"AGENTE CONTAMINANTE VIGENTE"
"60504645069","LA SALTE�?A S.A.","Dr. Luis Mar��a Drago 1164/66","BURZACO","ALMIRANTE BROWN","Cuenca Baja A�� Del Rey",-34.83124317,-58.42171812,"AGENTE CONTAMINANTE VIGENTE"
"70253766664","GRABYA S.R.L.","Ruta N�� 205, Km. 69,500","CAÑUELAS","CAÑUELAS","Cuenca Alta A�� Cebey",-35.06101286,-58.79159996,"AGENTE CONTAMINANTE VIGENTE"
"314807953","GRAU - HEREDIA S.A.","Itapirǧ 2151","LANUS OESTE","LANUS","Cuenca Baja Riachuelo",-34.68047551,-58.42262112,"AGENTE CONTAMINANTE VIGENTE"
"10216016599","RBN TRATAMIENTOS S.R.L.","Reconquista N�� 760/762","LA TABLADA","LA MATANZA","Cuenca Baja Riachuelo",-34.67693738,-58.51389124,"AGENTE CONTAMINANTE VIGENTE"
"495065737","RIAMBER S.A.","HIPOLITO YRIGOYEN 10101","TEMPERLEY","LOMAS DE ZAMORA","Fuera de Cuenca H��drica",-34.77420807,-58.40533829,"AGENTE CONTAMINANTE VIGENTE"
"97482495846","BRAVESTAR S.A.","Calle CUARTEL V","GENERAL LAS HERAS","GENERAL LAS HERAS","Cuenca Alta A�� Rodriguez",NA,NA,"AGENTE CONTAMINANTE VIGENTE"
"5000641","NAHUEL NICOLǁS FERNANDEZ","CNO. DE CINTURA 8844","9 DE ABRIL","ESTEBAN ECHEVERRIA","Cuenca Baja Rio Matanza",-34.7327516632066,-58.5021629446224,"AGENTE CONTAMINANTE VIGENTE"
"5000642","NAHUEL NICOLǁS FERNANDEZ","JULIO A. ROCA 1895","9 DE ABRIL","ESTEBAN ECHEVERRIA","Cuenca Baja Rio Matanza",-34.7316165609665,-58.4988231599651,"AGENTE CONTAMINANTE VIGENTE"
"9905041","BELTRAMI LUIS ALBERTO (CANTERA LUCHO)","CAMINO REAL S/N","GENERAL LAS HERAS","GENERAL LAS HERAS","Cuenca Alta A�� Rodriguez",-34.9208533681567,-58.6435006554238,"AGENTE CONTAMINANTE VIGENTE"
"250227240","AEROTEST RIDA SA NELL JOY IND MENDOZA SA UTE","EL PAMPERO 1003","AEROPUERTO INTERNACIONAL DE EZEIZA","EZEIZA","Cuenca Media A�� Aguirre",-34.796708528663,-58.5239560068254,"AGENTE CONTAMINANTE VIGENTE"
"5000646","TULINTINATTI RODRIGO LUIS","Hilario Lagos 4253 ","CONZALEZ CATAN","LA MATANZA","Cuenca Media A�� Barreiro",-34.7755968330204,-58.6541027644759,"AGENTE CONTAMINANTE VIGENTE"
"80316003471","ANGEL LIROSI S.A.","TABARE 1625","CAPITAL FEDERAL","CAPITAL FEDERAL","Cuenca Baja Riachuelo",-34.6531560959629,-58.4266191306924,"AGENTE CONTAMINANTE VIGENTE"
"53674562802","MARCENARO FLORENCIA INES","AV. SAN MARTIN 5155","LA TABLADA","LA MATANZA","Cuenca Baja Riachuelo",-34.6829505258855,-58.5184205155699,"AGENTE CONTAMINANTE VIGENTE"
"412101012","SUNNY FOOD SA.","CHARCAS 3852","LOMAS DEL MIRADOR","LOMAS DEL MIRADOR","Cuenca Baja Riachuelo",-34.670497613916,-58.5181415595271,"AGENTE CONTAMINANTE VIGENTE"
"29599998503","4 DE NOVIEMBRE SRL","Av. Otero 4550","PONTEVEDRA","MERLO","Fuera de Cuenca H��drica",-34.745212290574,-58.6897691441846,"AGENTE CONTAMINANTE VIGENTE"
"9978069","CASTRO DARIO ALEJANDRO","CHICLANA 697","LA TABLADA","LA MATANZA","Cuenca Baja Riachuelo",-34.6843065318307,-58.5281387423296,"AGENTE CONTAMINANTE VIGENTE"
"","JOSE LUIS BITLER","Gavilǭn 2044","LA TABLADA","LA MATANZA","Cuenca Baja Rio Matanza",-34.690148228567,-58.5379020153507,"AGENTE CONTAMINANTE VIGENTE"
"9978154","LAVADERO INDUSTRIAL (JUAN ROJAS)","CULPINA 60","VILLA EDUARDO MADERO","LA MATANZA","Cuenca Baja Riachuelo",-34.683147211168,-58.5138364653509,"AGENTE CONTAMINANTE VIGENTE"
"9901611","JAMER EFRAIN JUAN PEREZ","AV. PAVON 3993","CAPITAL FEDERAL","CAPITAL FEDERAL","Cuenca Baja Riachuelo",-34.6303133033862,-58.4203000153522,"AGENTE CONTAMINANTE VIGENTE"
"5000575","JOSE IODICE","SEGUNDO SOMBRA 505","CAÑUELAS","CAÑUELAS","Cuenca Alta Rio Matanza",-34.9491537471493,-58.7520258865056,"AGENTE CONTAMINANTE VIGENTE"
"9979975","TERMOPLASTICOS DEL SUR","JUAN XXIII 3112","BURZACO","ALMIRANTE BROWN","Cuenca Baja A�� Del Rey",-34.8354756796268,-58.4264091,"AGENTE CONTAMINANTE VIGENTE"
"9901141","PERSANO S.A.","Agripina D�?? Antonio 2364","LONGCHAMPS","ALMIRANTE BROWN","Cuenca Baja A�� Del Rey",-34.8493363038617,-58.4080812730111,"AGENTE CONTAMINANTE VIGENTE"
"60433859608","TEGNAL S.A.","DR. I. ARIETA 4704","LA TABLADA","LA MATANZA","Cuenca Baja Rio Matanza",-34.6908162891864,-58.5442224981537,"AGENTE CONTAMINANTE VIGENTE"
"23127985529","MARTINEZ OMAR ALFONSO","JUAN XXIII 2761","BURZACO","ALMIRANTE BROWN","Cuenca Baja A� Del Rey",-34.8337767951242,-58.4220944576704,"AGENTE CONTAMINANTE VIGENTE"
